frame.len,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.flags.ack,tcp.flags.push,tcp.flags.syn,src,dst,label
74,6,55168,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,60006,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,43152,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43152,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,53304,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53310,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,53310,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
142,6,43224,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,43224,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,53994,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,52958,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,35152,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,35152,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,35158,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,38560,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,38570,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
295,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
60,6,31668,80,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,12304,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,38572,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,43658,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
74,6,43154,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,43154,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
74,6,52968,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,43154,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
74,6,52982,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,49752,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,49752,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,49760,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
60,6,52982,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,49760,8000,16,1,0,0,192.168.68.10,192.168.68.20,1
60,6,43154,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
60,6,36816,8080,2,0,0,1,192.168.68.10,192.168.68.20,1
426,17,0,0,0,0,0,0,192.168.68.10,192.168.68.20,1
142,6,50498,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,50498,8000,17,1,0,0,192.168.68.10,192.168.68.20,1
74,6,50504,8000,2,0,0,1,192.168.68.10,192.168.68.20,1
142,6,42448,8000,24,1,1,0,192.168.68.10,192.168.68.20,1
60,6,44790,8000,20,1,0,0,10.0.0.8,192.168.68.20,1
98,1,0,0,0,0,0,0,10.0.0.1,192.168.68.20,0
98,1,0,0,0,0,0,0,10.0.0.1,192.168.68.20,0
98,1,0,0,0,0,0,0,10.0.0.1,192.168.68.20,0
98,1,0,0,0,0,0,0,10.0.0.1,192.168.68.20,0
98,1,0,0,0,0,0,0,10.0.0.1,192.168.68.20,0
74,6,41734,8000,2,0,0,1,10.0.0.15,192.168.68.20,1
60,6,41734,8000,16,1,0,0,10.0.0.15,192.168.68.20,1
74,6,54610,8000,2,0,0,1,10.0.0.16,192.168.68.20,1
60,6,54610,8000,16,1,0,0,10.0.0.16,192.168.68.20,1
142,6,54610,8000,24,1,1,0,10.0.0.16,192.168.68.20,1
60,6,54610,8000,17,1,0,0,10.0.0.16,192.168.68.20,1
74,6,54614,8000,2,0,0,1,10.0.0.16,192.168.68.20,1
60,6,54614,8000,16,1,0,0,10.0.0.16,192.168.68.20,1
142,6,54614,8000,24,1,1,0,10.0.0.16,192.168.68.20,1
60,6,54614,8000,17,1,0,0,10.0.0.16,192.168.68.20,1
74,6,54620,8000,2,0,0,1,10.0.0.16,192.168.68.20,1
142,6,41734,8000,24,1,1,0,10.0.0.15,192.168.68.20,1
60,6,41734,8000,17,1,0,0,10.0.0.15,192.168.68.20,1
74,6,41736,8000,2,0,0,1,10.0.0.15,192.168.68.20,1
60,6,54620,8000,16,1,0,0,10.0.0.16,192.168.68.20,1
60,6,41736,8000,16,1,0,0,10.0.0.15,192.168.68.20,1
142,6,41736,8000,24,1,1,0,10.0.0.15,192.168.68.20,1
60,6,41736,8000,17,1,0,0,10.0.0.15,192.168.68.20,1
74,6,41752,8000,2,0,0,1,10.0.0.15,192.168.68.20,1
142,6,54620,8000,24,1,1,0,10.0.0.16,192.168.68.20,1
60,6,54620,8000,17,1,0,0,10.0.0.16,192.168.68.20,1
74,6,54632,8000,2,0,0,1,10.0.0.16,192.168.68.20,1
60,6,41752,8000,16,1,0,0,10.0.0.15,192.168.68.20,1
142,6,41752,8000,24,1,1,0,10.0.0.15,192.168.68.20,1
60,6,41752,8000,17,1,0,0,10.0.0.15,192.168.68.20,1
74,6,41758,8000,2,0,0,1,10.0.0.15,192.168.68.20,1
60,6,41752,8000,17,1,0,0,10.0.0.15,192.168.68.20,1
60,6,54632,8000,16,1,0,0,10.0.0.16,192.168.68.20,1
60,6,41758,8000,16,1,0,0,10.0.0.15,192.168.68.20,1
142,6,54632,8000,24,1,1,0,10.0.0.16,192.168.68.20,1
60,6,54632,8000,17,1,0,0,10.0.0.16,192.168.68.20,1
74,6,54640,8000,2,0,0,1,10.0.0.16,192.168.68.20,1
60,6,54640,8000,16,1,0,0,10.0.0.16,192.168.68.20,1
142,6,54640,8000,24,1,1,0,10.0.0.16,192.168.68.20,1
60,6,54640,8000,17,1,0,0,10.0.0.16,192.168.68.20,1
142,6,41758,8000,24,1,1,0,10.0.0.15,192.168.68.20,1
60,6,41758,8000,17,1,0,0,10.0.0.15,192.168.68.20,1
74,6,41764,8000,2,0,0,1,10.0.0.15,192.168.68.20,1
60,6,41764,8000,16,1,0,0,10.0.0.15,192.168.68.20,1
74,6,50796,8000,2,0,0,1,10.0.0.10,192.168.68.20,1
142,6,41764,8000,24,1,1,0,10.0.0.15,192.168.68.20,1
74,6,33048,8000,2,0,0,1,10.0.0.7,192.168.68.20,1
60,6,50796,8000,16,1,0,0,10.0.0.10,192.168.68.20,1
60,6,33048,8000,16,1,0,0,10.0.0.7,192.168.68.20,1
142,6,50796,8000,24,1,1,0,10.0.0.10,192.168.68.20,1
60,6,50796,8000,17,1,0,0,10.0.0.10,192.168.68.20,1
74,6,54644,8000,2,0,0,1,10.0.0.16,192.168.68.20,1
74,6,50808,8000,2,0,0,1,10.0.0.10,192.168.68.20,1
60,6,54644,8000,16,1,0,0,10.0.0.16,192.168.68.20,1
60,6,50808,8000,16,1,0,0,10.0.0.10,192.168.68.20,1
142,6,54644,8000,24,1,1,0,10.0.0.16,192.168.68.20,1
60,6,54644,8000,17,1,0,0,10.0.0.16,192.168.68.20,1
74,6,54652,8000,2,0,0,1,10.0.0.16,192.168.68.20,1
60,6,54652,8000,16,1,0,0,10.0.0.16,192.168.68.20,1
142,6,54652,8000,24,1,1,0,10.0.0.16,192.168.68.20,1
60,6,54652,8000,17,1,0,0,10.0.0.16,192.168.68.20,1
74,6,54664,8000,2,0,0,1,10.0.0.16,192.168.68.20,1
142,6,33048,8000,24,1,1,0,10.0.0.7,192.168.68.20,1
60,6,33048,8000,17,1,0,0,10.0.0.7,192.168.68.20,1
74,6,33052,8000,2,0,0,1,10.0.0.7,192.168.68.20,1
60,6,54664,8000,16,1,0,0,10.0.0.16,192.168.68.20,1
142,6,54664,8000,24,1,1,0,10.0.0.16,192.168.68.20,1
60,6,54664,8000,17,1,0,0,10.0.0.16,192.168.68.20,1
74,6,54676,8000,2,0,0,1,10.0.0.16,192.168.68.20,1
60,6,33052,8000,16,1,0,0,10.0.0.7,192.168.68.20,1
60,6,54676,8000,16,1,0,0,10.0.0.16,192.168.68.20,1
